Date,Time,Source,Street,Tags,Link
28 ottobre 2021,11:30,MilanoToday,Viale Monza,indagini,https://www.milanotoday.it/cronaca/bossoli-viale-monza.html
23 ottobre 2021,09:57,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/via-teocrito-22-ottobre-2021.html
21 ottobre 2021,07:15,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/negozio-sfondato-viale-monza.html
08 ottobre 2021,15:43,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/spaccio-documenti-falsi-donna.html
07 ottobre 2021,13:53,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/peschiera-sequestra-ex-centro-commerciale.html
06 ottobre 2021,12:30,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/laboratorio-cocaina-eroina-via-rucellai.html
30 giugno 2021,15:47,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/cronaca/morti-colf-incidente-lavoro.html
17 giugno 2021,13:08,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/omicidio/via-lombroso-arresto.html
19 aprile 2021,14:46,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/furti-auto-milano-arresti.html
19 aprile 2021,14:11,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/arresto-spaccio-viale-monza.html
07 aprile 2021,08:48,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/cronaca/morto-viale-monza-.html
05 aprile 2021,13:31,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/arrestato-spaccio-cocaina-sesto.html
01 aprile 2021,10:23,MilanoToday,Viale Monza,"incidenti-stradali,morti",https://www.milanotoday.it/attualita/morti-incidenti-stradali-dati.html
26 marzo 2021,07:31,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/attualita/monopattini-incidenti-dati-feriti-sicurezza.html
10 febbraio 2021,11:07,MilanoToday,Viale Monza,"arresti,aggressioni",https://www.milanotoday.it/cronaca/polizia-via-popoli-uniti-arresto.html
29 gennaio 2021,15:04,MilanoToday,Viale Monza,"droga,arresti,aggressioni",https://www.milanotoday.it/cronaca/poliziotti-aggredti-villa-san-giovanni.html
28 gennaio 2021,13:26,MilanoToday,Viale Monza,"morti,arresti",https://www.milanotoday.it/cronaca/incendio-cinisello-viale-friuli-arresto-mortoo.html
24 dicembre 2020,11:34,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/moto-sovico.html
12 dicembre 2020,09:02,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/droga-whatsapp-arresti.html
10 dicembre 2020,07:28,MilanoToday,Viale Monza,incidenti,https://www.milanotoday.it/cronaca/ragazzino-caduto-grave-viale-monza.html
23 novembre 2020,14:14,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/furto-cdi-viale-monza.html
08 novembre 2020,08:07,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/zone/loreto/crescenzago/droga-via-padova-via-narni.html
02 novembre 2020,06:54,MilanoToday,Viale Monza,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/lino-di-leo-morto.html
30 ottobre 2020,11:58,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/cronaca/droga-alcol-sempione-padova.html
29 ottobre 2020,22:05,MilanoToday,Viale Monza,furti,https://www.milanotoday.it/cronaca/ladro-ruba-auto-polizia-.html
21 ottobre 2020,12:51,MilanoToday,Viale Monza,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/viale-monza-auto-bici.html
08 ottobre 2020,14:45,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/cercano-ammazzare-debito.html
08 ottobre 2020,12:36,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/furti-casa-pezzo-bottiglia.html
13 settembre 2020,13:47,MilanoToday,Viale Monza,furti,https://www.milanotoday.it/cronaca/furto-casa-roggia-scagna.html
05 settembre 2020,10:10,MilanoToday,Viale Monza,"incidenti-stradali,furti,arresti",https://www.milanotoday.it/cronaca/inseguimento-monza-viale-industrie.html
31 agosto 2020,10:14,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-monza-domenica.html
06 agosto 2020,13:37,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/arrestato-furto-tigota-viale-monza.html
01 luglio 2020,11:41,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/furti-auto-demolitore-monza.html
22 maggio 2020,12:06,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-monza-22-maggio-2020.html
21 maggio 2020,17:41,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/attualita/morto-viale-monza-ciclabile.html
05 maggio 2020,17:21,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/maniaco-donna-via-2-giugno.html
03 aprile 2020,19:00,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/cronaca/spacciatore-domicilio-quarantena.html
20 marzo 2020,07:30,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/attualita/coronavirus/aggiornamenti-20-marzo-contagi-morti-lombardia.html
10 marzo 2020,14:35,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/spaccio-cobret-cos-e.html
09 febbraio 2020,09:59,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/cronaca/uomo-morto-treno-galleria-monza.html
28 gennaio 2020,08:21,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/cronaca/macellaio-spacciatore-cocaina.html
